타임스탬프,본인의 MBTI 유형을 알고 계시다면 작성해 주세요. , Q1. 도슨트 로봇의 설명 시작 방식에 대한 선호도  ,Q1에서 문항을 선택한 이유,"  Q2. 도슨트 AI 로봇이 그림 앞에서 자동으로 음성 설명을 들려주는 기능이 있다면, 어떤 방식으로 듣고 싶으신가요?  ",Q2에서 문항을 선택한 이유,Q3. 무선 이어폰 연결 방식에 대한 선호도 ,Q3에서 문항을 선택한 이유,"  Q4. 도슨트 AI 로봇과 상호작용할 수 있다면, 어떤 방식이 가장 편하신가요?  ",Q4에서 문항을 선택한 이유,"Q5. 도슨트 AI 로봇이 사진을 찍어주는 기능이 있다면, 이용할 때의 장점",추가 의견이 있으시다면 자유롭게 작성해주세요. ,
2025/04/11 8:29:11 오후 GMT+9,Estj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,내가 선택 할 수 있다는 것이 좋아서,무선이어폰으로 개별 청취,나만 듣는게 좋아서,개인 스마트폰 앱을 통한 연결,바로 연결 보단 내가 선택해서 연결 되는 것이 좋아서,스마트폰 앱을 통한 조작,프라이빗 하니깐,모르겠다,없음,
2025/04/11 8:30:03 오후 GMT+9,ENTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"미술관에 갔을 때 내 속도에 맞게 설명 듣고싶고, 딱히 설명을 듣고 싶지 않고 온전히 즐기고 싶은 작품도 있기 때문",무선이어폰으로 개별 청취,내장스피커로 하면 시끄러울 수도,개인 스마트폰 앱을 통한 연결,블루투스연결 잘 안될때가 있음,스마트폰 앱을 통한 조작,스마트폰 앱 설치하면 연결되는 방식으로 하면 좋을듯,"굳이 스럽긴하나, 단체사진 찍기 좋을 듯. 이왕이면 사진찍어주고 연동된 어플에 전송해주면 될 듯",,
2025/04/11 8:36:17 오후 GMT+9,INFP,상황에 따라 선택할 수 있는 옵션이 제공,자동으로 도슨트 로봇이 설명해주어 도슨트에 크게 관심이 없는 사람들도 뜻깊은 경험을 할 수 있을 것 같습니다. ,로봇 내장 스피커로 청취,이어폰을 끼면 혼자 온 것 같은 기분이 들 것 같습니다. 같이 왔을때 작품을 보며 소감을 자유롭게 나누고싶다.,도슨트 로봇에 바로 블루투스 연결,앱 다운이 귀찮습니다.,음성 명령으로 대화,실제 도슨트 직원과 상호작용했을때의 장점이 로봇에게도 있으면 좋겠습니다.,장점이 있을지 모르겠습니다.,,
2025/04/11 9:10:50 오후 GMT+9,INFJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,궁금한 작품에 대해서만 설명을 듣고싶다,무선이어폰으로 개별 청취,사람마다 작품 감상시간이 다르기 때문,개인 스마트폰 앱을 통한 연결,그냥 ,음성 명령으로 대화,상호작용할 수 있다면 사람처럼 대화가능한게 더 흥미로울꺼 같다,별로일꺼같다 미술관은 작품감상이 목적이지 사진찍으러가는곳이 아니라고 생각한다,,
2025/04/11 9:34:29 오후 GMT+9,enfj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,너무 말 많으면 감상에 방해가 될거같아욥,로봇 내장 스피커로 청취,"무선이어폰 개인용으로 연결하기도 불편
공용걸로 사기에도 돈낭비",개인 스마트폰 앱을 통한 연결,로봇과 다중연결? 뭔가 불안해요,스마트폰 앱을 통한 조작,제일 불편함없구 편해용,미술관같은 곳에서는 요새 젊은 사람들은 감성샷 등을 위해 구도같은거에 신경을 많이 쓰는데 솔직히 도슨트 로봇이 그 정도 수준이될지.. 수준만 된다면 혼자온 사람들도 넘 편할거같아요,,
2025/04/11 10:20:40 오후 GMT+9,esfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,관람객이 참여함으로서 더 관심을 받을수있을것같다,로봇 내장 스피커로 청취,무선이어폰을 껴야하는 번거로움을 덜 것이다,도슨트 로봇에 바로 블루투스 연결,개인스마트폰에 앱을 설치하는것이 반감이 생길수있을것같음,음성 명령으로 대화,제일 간편해서,혼자오는사람도 추억을 남길수있을것같다,,
2025/04/11 10:26:02 오후 GMT+9,ENTJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"듣고 싶은 경우 눌러서 듣는 것은 어렵지 않음
반대로 듣고 싶지 않은 경우에 자동 재생되면 대안이 없음",로봇 내장 스피커로 청취,"1. 무선 이어폰이 제공되는 경우: 그림마다 배부 받고 꼽고 빼고 귀찮음
2. 무선 이어폰이 본인 것인 경우: 아직까지는 별도의 노력 없이 부드럽고 편하게 연동 되기 어려워 보임 (사용감이 충분히 좋다면 메리트 있을 듯)",개인 스마트폰 앱을 통한 연결,미술관(박물관) 내 작품 간 거리가 멀지 않기 때문에 신호 간섭 및 원치 않는 연결&해제 (예를 들어 이미 등록된 이전 작품 근처를 우연히 지나갈 때 자동으로 연결됨),스마트폰 앱을 통한 조작,현재 이어폰 마이크 성능 상 주변 소리가 너무 유입돼서 음성 명령은 힘들 것 같고 스마트폰으로 연결한 김에 제어까지?,저는 여자친구한테 찍어달라 할게요,,
2025/04/11 11:38:58 오후 GMT+9,Enfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,필요에의해내가선택하고싶어서,무선이어폰으로 개별 청취,좋은 음질로 정확히 듣고싶어서,도슨트 로봇에 바로 블루투스 연결,개인스마트폰 연결 귀찮아서,화면 터치를 통한 조작,편해서,혼자 방문했을 때 편함 그리고 애초에 혼자 방뮨하기도 편함,,
2025/04/12 6:34:02 오전 GMT+9,,로봇이 자동으로 설명을 시작하는 방식,"1. 미술관에 작품이 1000개 있다면, 처음 관람하면 많은 작품중에 뭐가 중요하고 꼭 봐야 되는지 잘 모르므로 중요한 작품 위주로 ai가 자동 선별하여 데리고 다니거나 해당 작품위치로 이동요청해 설명하고 해주고, 
2. 관람객  취향이 다르므로  설명시 상세히 설명해줘, 중요부분 요약해줘, 또는 스킵해줘 기능 
3. 위 2번사항 관람객의 설명 요청, 성별, 나이등을 취향을 파악해서 꼭 봐야할 중요한 작품 외에는 관람객 취향을 반영해 ai가 고개 및 설명는 작품이 각자 다를수 있음",무선이어폰으로 개별 청취,설명 내용이 각자 다를수 있으므로 다른 사람과 간섭을 피하기 위해,도슨트 로봇에 바로 블루투스 연결,내폰에 앱연결등 귀찮음,음성 명령으로 대화,,사진 찍기 위해 신경을 덜 쓰니까 관람에 더 집중할 수 있음,"작품의 퀄리티 및 관람객 선호도에 따라 설명 분량을 다르게 또는 요약 밎 스킵 하며 재미있게 설명하여 관람객이 지루하지 않게 설명, 취향에 맞게 지루하지 않게 하는게 중요함",
2025/04/12 6:41:00 오전 GMT+9,ISTJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"미술관과 전시관은 어떠한 작품을 감상하고 본인의 생각을 정리하는 것도 중요하다고 생각되어지는데,  
선택할 수 없이 자동으로 설명이 시작되면 내 생각이라는 것을 못하고 틀에 박힐 것 같아서 ",무선이어폰으로 개별 청취,개인적으로 조용히 감상하고 싶을 것 같아서,도슨트 로봇에 바로 블루투스 연결,앱 깔아야되면 귀찮아서 안 들을수도 있을 것 같아요,화면 터치를 통한 조작,"대화하면 여기저기 다 떠들어서 시끄러울 것 같고, 스마트폰 앱으로 하자니 또 깔아서 들어야되는 번거로움이 있을 것 같아요",혼자가면 좋을 것 같아요,,
2025/04/12 11:10:36 오전 GMT+9,ESTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,궁금한 작품만 알고싶음,둘다 지원되면 좋겠음,,도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,,사용함,,
2025/04/12 11:16:55 오전 GMT+9,,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,음성 명령으로 대화,,음성으로 설정할 수 있으므로 편리할 것 같다.,나이가든 어르신들도 편리하게 사용할 수 있는 음성 메시지가 편리할 것 같다라는 생각이 듬,
2025/04/12 1:30:31 오후 GMT+9,Infp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,듣기 싫은건 안듣고 싶오 동혁아,무선이어폰으로 개별 청취,이건 어려운데 그냥 잘 알아듣게,도슨트 로봇에 바로 블루투스 연결,로보트가 알아서 해야지 남 핸드폰 건드는거 아니다,음성 명령으로 대화,로봇친구가 생긴거 같자ㅏㄴ요,멀리서 여러각도에서 찍을 수 있다,,
2025/04/12 10:04:19 오후 GMT+9,infj,로봇이 자동으로 설명을 시작하는 방식,전시회의 흐름에 맞게 자동으로 설명을 듣는 것을 더 선호.,무선이어폰으로 개별 청취,간편합니당,도슨트 로봇에 바로 블루투스 연결,연결이 더 빠를 듯!,화면 터치를 통한 조작,간편함!,추억을 남길 수 있다,,
2025/04/13 4:48:39 오후 GMT+9,INTJ,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,궁금한 게 생겼을 때 설명을 들어야 와닿음,로봇 내장 스피커로 청취,,도슨트 로봇에 바로 블루투스 연결,,음성 명령으로 대화,음성 명령이 제일 편함,모르겠음 ,,
2025/04/13 5:08:24 오후 GMT+9,ESFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,,셀카찍을때,,
2025/04/13 5:19:43 오후 GMT+9,MBTI 성격유형과 도슨트 프로그램의 직접적인 인과관계나 상관성은  유의미하지 않은 것으로  본다.,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,개인 스마트폰 앱을 통한 연결,필자는 사소한 귀찮음이 이용 빈도와 시장의 경쟁성을 좌우한다고 본다. 로봇에 블루투스를 연결해서 사용하는 건 실용성이 떨어진다. ,QR코드,"1. 현재 AI에게 음성 명령으로 대화할 때 단 1의 불편함이나 대화의 불편함이 있다면 전시관이나 미술관의 이미지에 악영향이 갈 것이며, 모든 인간의 음성을 한번에 인식하여 대답할 수 있는 기술이 상용화되지 못하였기 때문에 실용성이 떨어진다

2. 화면 터치를 통한 조작은 화면 터치를 통해 어떤 행동을 하겠다는 건지 보충 설명이 필요해 보인다.
미술관이나 전시관에 화면 조작이 가능한 AI를 설치하여 조작한다는 것인가? 아니면 인천공항 사례와 같이 무인 AI가 지나다니면서 도와주는 그런 시스템을 말한다는 것인가? 제 3자가 봐도 쉽게 이해할 수 있었으면 좋겠다

3. 스마트폰 앱을 통한 조작은 입장하기 전 앱을 깔고 들어가야 한다는 번거로움이 있다. 이를 위해선 몇 분의 시간과 입장에 불편함이 발생할 수 있다. 입장하기 전 앱을 깔고 들어가면 불편함이 사라질 수 있다고 말할 수 있지만 전시회나 미술관의 경우 재방문률이 낮고 이용하는 사람이 한정적이며 앱 이용률이 일회성에 그친다는 점을 볼 때, 스마트폰 앱을 만드는 비용을 다른 곳에 투자하는 것이 더 합리적이라 본다.

4. 앞서 설명한 단점들을 한번에 해결할 수 있는 것이 QR코드이다. 현재 미술관이나 전시관에 도입되어 있으며, 이러한 시스템에 AI를 적용시켜, A 전시물에 다가갈 시, 설명이 바로 나오게 끔 만들면 편리하다고 본다.

한번의 QR코드로 이미 만들어져 있는 시스템에 접속하여 AI가 전시물의 정보를 들려준다면 비용도 아낄 수 있을 것으로 보인다. 또한 버스처럼 특정 위치에 도달하면 '이번 정류장은 ~고 다음은 ~이다'라는 것처럼 전시물마다 인식기를 설치하여 사용자가 해당 전시물 앞에서 10초이상 머무른다면 설명하는 식으로 하면 좋을 것으로 보인다.

현재 한진이나  CJ같은 경우 고객센터의 간단한 상담은 AI를 활용하고 있다. 전시관의 개장이나 시설정보, 화장실 등은 AI를 사용하여 안내할 수 있으면 좋을 거라 생각한다.","기능에 대한 필요성은 잘 모르겠다. 하지만, 사진을 찍어주는 기능이 있다면 혼자 전시관에 방문하여 다른 사람들처럼 행동하기 힘든 장애인들에게 도움이 될 것이라 본다.",,
2025/04/13 5:20:15 오후 GMT+9,ISTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,원하는거나 궁금한것만 고를수 있어서,무선이어폰으로 개별 청취,그 작품에만 집중 할 수 있을것 같아서,개인 스마트폰 앱을 통한 연결,개인 스마트폰은 대부분 무선 이어폰이 연결 되어있고 휴대폰 앱이면 꼭 무선 이어폰이 아니어도 가능하기 때문,음성 명령으로 대화,불필요한 행동을 줄일수 있어서,4번 질문과 연결해서 말 만으로 사진을 찍을수 있음,,
2025/04/13 5:27:56 오후 GMT+9,ISFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,다시 듣고 싶을 때가 있기 때문,무선이어폰으로 개별 청취,공공장소이기도 하고 외부소음으로 인해 작품에 집중하기 어렵기 때문,도슨트 로봇에 바로 블루투스 연결,앱 깔기 귀찮음,음성 명령으로 대화,"화면 조작하기 어려운 사람들이 있을 거라 생각 -> 다양한 연령층이 사용하기 편하다고 생각 
화면에 한정된 것만 지시할 수 있는 것이 아닌 음성 명령으로 다양한 지시를 할 수 있을 것이라 생각",인스타 올리기 가능 -> 하나의 챌린지나 유행이 된다면 마케팅 쪽으로도 의의가 있어보임 ,힘내세요,
2025/04/13 5:28:50 오후 GMT+9,INFP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,"혼자 충분히 감상할 시간을 가진 뒤, 해설을 듣고 나의 감상과 비교하고 싶기 때문에 버튼을 눌렀을 때 설명해줬으면 좋겠습니다.",무선이어폰으로 개별 청취,"내장 스피커가 그림마다 있으면 옆의 로봇 설명 때문에 집중이 잘 안될 것 같고, 점점 시끄러운 분위기가 될 것 같기 때문입니다.",도슨트 로봇에 바로 블루투스 연결,앱 설치는 너무 귀찮고 싫습니다. 내가 보는 그림과 자동으로 잘 매치가 되었으면 좋겠습니다.,화면 터치를 통한 조작,비치 되어있는 직관적인 UI 화면을 통해 설명을 듣고 싶습니다.,"많은 곳에서 미술품 촬영이 금지되어있는 것으로 아는데,
로봇이 그림을 찍는 것이 아니라, 그림 맞은편에 있는 관람객을 찍어 해당 미술품과 AI로 합성을 해준다면 좋을 수도 있을 것 같습니다.",,
2025/04/13 5:30:40 오후 GMT+9,Estj,로봇이 자동으로 설명을 시작하는 방식,접근성이 가장 좋아서,로봇 내장 스피커로 청취,이어폰같은 경우에 본인꺼가 아니면 위생때문에,도슨트 로봇에 바로 블루투스 연결,앱을 까는 것보다 블루투스 연결을 더 선호,음성 명령으로 대화,모르는 점이 있다면 직접물어볼 수 있어서,.,,
2025/04/13 5:31:37 오후 GMT+9,모름,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,요즘 사람들은 딱히 관심을 가져주지않는 내향인이 많기때문에 필요할때만 부르는 그런 문화가 일부 적용되어있기에 선택을 했습니다.,무선이어폰으로 개별 청취,"그곳에 여러사람들과 또다른 설명인,봇들이 있으면 제대로 소리가 집중이 안되고 난잡하게 될수도 있는 그런 불편함이 존재할꺼같습니다.",개인 스마트폰 앱을 통한 연결,너무많은 로봇에 직접적으로 연결을 하면 램할당과 기타 문제가 발생우려있고 앱으로 하면 조금더 나은 연결방법을 이용할수있음,스마트폰 앱을 통한 조작,앱을 통해 조금더 나은 정보전달체계,다른사람에게 직접적으로 안물어봐도되는것,없음준호,
2025/04/13 5:34:14 오후 GMT+9,Infp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,자동설명은 시끄러워하는사람이 있을수있기때문,로봇 내장 스피커로 청취,지금까지의 박물관등 다른곳을보면 스피커 청취를 하기때문에 그것이 좀더 친근해서,도슨트 로봇에 바로 블루투스 연결,간단하고 편하게 하기위해,스마트폰 앱을 통한 조작,거리가있어도 상호작용이 편하기때문,다른사람의 손을빌리지않고 찍을수있다,,
2025/04/13 5:34:18 오후 GMT+9,enfj,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,불필요한 소음 제거 및 필요시 설명 듣는게 좋음,로봇 내장 스피커로 청취,무선 이어폰이 없는 경우.,개인 스마트폰 앱을 통한 연결,개인 연결이 더욱 좋을거같기에,스마트폰 앱을 통한 조작,스마트 폰이 편리하기에.,잘 모르겠습니다.,없습니다 ,
2025/04/13 5:35:32 오후 GMT+9,INTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,자동은 오류가 많기도 하고 미술관이 너무 시끄러워질수 있음.,무선이어폰으로 개별 청취,1번과 비슷. 로봇 목소리가 사람 도슨트같이 조용조용할 수 있다면 스피커도 괜찮음.,도슨트 로봇에 바로 블루투스 연결,앱은 악용 가능성도 높고 노인분들이나 장애인분들에게 접근성이 떨어짐.,음성+터치,3번과 비슷.,혼자 간 사람은 편할듯. 그러나 해킹의 위험이 있으니 조심.,노인분들이나 장애인 분들도 잘 이용할 수 있으면 좋겠습니다. 예시로 청각장애인 분들은 화면의 대사로 볼수 있게 하는 것 등이 있겠네요.,
2025/04/13 5:35:51 오후 GMT+9,,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,,무선이어폰으로 개별 청취,,개인 스마트폰 앱을 통한 연결,,화면 터치를 통한 조작,,편할것같음,,
2025/04/13 5:42:39 오후 GMT+9,모름,로봇이 자동으로 설명을 시작하는 방식,삶의 질이 높아지고  빠른 이해로인해,로봇 내장 스피커로 청취,편리하니깐,도슨트 로봇에 바로 블루투스 연결,개인 폰으로 연결은 불편함으로,음성 명령으로 대화,바로 작동이 가능함으로,찍어주는 사람 의식하지 않고 편한 포즈을 치할수 있음,없음,
2025/04/13 5:42:40 오후 GMT+9,ISTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,굳이 설명을 안 듣고 싶은 경우도 있으니까 궁금한 부분만 들을 수 있기 위해서,로봇 내장 스피커로 청취,귀찮게 이어폰 꼈다 뺐다 하기 싫어서,도슨트 로봇에 바로 블루투스 연결,앱을 통해서 들을 수 있게 된다면 앱을 깔기 귀찮아서 궁금하더라도 안 듣고 지나치는 사람이 많을 거 같기 때문,음성 명령으로 대화,조금 더 사람과 대화하는 느낌을 얻을 수 있기 때문,"여러명에서 찍을 때 삼각대가 필요 없음, 원하는 각도를 설정하면 사람보다 더 잘 찍을 수 있을 거라는 생각",없음,
2025/04/13 5:42:41 오후 GMT+9,istj-t,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,관심 있는 부분만 ,무선이어폰으로 개별 청취,스피커로는 잘 안들릴 수도 ,도슨트 로봇에 바로 블루투스 연결,번거롭지 않고 간편하게,화면 터치를 통한 조작,대화보다 터치 형식으로,글세...,,
2025/04/13 5:44:06 오후 GMT+9,isfp,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,필요하지 않은 경우에는 귀찮게 느껴질 가능성이 높아서,로봇 내장 스피커로 청취,무선 이어폰을 개인이 준비한 걸로 연결이 된다면 모를까 나눠주는 거라면 위생이 걱정 됨 헤드셋이라면 괜찮을 거 같아요,도슨트 로봇에 바로 블루투스 연결,앱은 귀찮을 수도 있겠네용,화면 터치를 통한 조작,가장 간편할 거 같아서,이건 잘 모르겠어요,,
2025/04/13 5:44:43 오후 GMT+9,INTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,로봇의 설명을 듣지 않고 내가 스스로 생각해보고 싶을 때도 있을 것 같아서,무선이어폰으로 개별 청취,로봇 내장 스피커가 남들에게도 들리는 것이라면 시끄러울 것 같다,도슨트 로봇에 바로 블루투스 연결,개인 스마트폰 앱이면 그걸 설치해야하는데 모종의 이유로 설치 불가능한 사람도 있을 수 있다. 가령 스마트폰 사용을 하지 않는다든지,화면 터치를 통한 조작,음성 명령은 많은 사람이 미술관이나 전시관에서 적합하지 않을 듯 하다,내가 굳이 직접 사진을 안찍어도 되고 만약 도슨트 기능이 중요한 지점의 포인트를 집은 사진을 찍어주면 좋을 것 같다,,
2025/04/13 5:46:36 오후 GMT+9,Istp,상황에 따라 선택할 수 있는 옵션이 제공,단체관람의 경우에는 다 설명하는게 나을거같고 개인관람자는 필요시마다 누르는게 나을거같음,이것도 선택형,사람이 많아 시끄러울경우 이어폰 아니면 스피커도 나아보임,도슨트 로봇에 바로 블루투스 연결,미술관에서 제공하는 이어폰 혹은 헤드셋 을 로봇에 거치해두고 노래방마이크마냥 필요시 꺼내쓰는것도 나쁘지않아보임,화면 터치를 통한 조작,스마트폰앱을 쓴다면 앱을 설치하지않을경우 이용이 어렵고 앱을 설치후 회원가입절차가있다면 더욱 귀찮아할것임 음성명령을 쓴다면 주변이 시끄러울 경우 작동이 어려울수있음 ,찍어줄사람을 찾아 모르는사람한테 말을 걸지 않아도 됨,,
2025/04/13 5:50:05 오후 GMT+9,INTP,관람객이 요청하거나 버튼/앱을 눌렀을 때만 설명하는 방식,방해받지 않고 자유롭게 관람 가능,로봇 내장 스피커로 청취,"무선 이어폰의 위생 문제
어르신들은 개별 연결 및 조작이 번거로울 수 있음",도슨트 로봇에 바로 블루투스 연결,,화면 터치를 통한 조작,음성 명령 부끄러워요,"인스타그램 등 SNS 홍보 효과
관람객이 로봇이 찍어준 사진을 SNS에 공유함으로써 자연스럽게 전시 홍보 효과 발생",,
